"","PRJNA291292:ampicillin:PA14","PRJNA291292:silver_nitrate:PA14","PRJNA291292:aztreonam:PA14","PRJNA291292:bleach:PA14","PRJNA291292:benzalkonium_chloride:PA14","PRJNA291292:carbenicillin:PA14","PRJNA291292:cefoperazone:PA14","PRJNA291292:ciprofloxacin:PA14","PRJNA291292:gentamicin:PA14","PRJNA291292:neomycin:PA14","PRJNA291292:polymyxin_B:PA14","PRJNA291292:povidone-iodine:PA14","PRJNA291292:tobramycin:PA14","PRJNA291292:water:PA14","PRJNA291292:H2O2:PA14"
"PA14_58750",-2.2306,0.0196,-5.1366,4.2476,1.3611,0.3004,-4.4724,-9.7311,-0.5449,-7.0388,-1.7165,5.5238,-3.6654,0,0.8079
"PA14_58760",0.7657,-0.2744,-0.6922,0.6757,-0.4418,-0.0179,-0.88,-0.994,-0.1668,-1.0019,-0.7817,1.2051,-0.8432,0,0.6059
"PA14_58770",-1.7951,1.9626,-1.1733,-1.5372,-0.2384,-1.4713,1.8409,-5.5051,-4.4466,-0.2861,1.3252,0.7241,0.113,0,-1.4387
"PA14_58780",-1.0221,1.5348,-0.5372,-1.314,-1.1118,0.0592,1.9203,-0.1882,1.1907,1.7638,1.092,-1.2324,1.4196,0,0.953
"PA14_58790",0.7554,-0.2485,0.6272,0.5443,0.1145,0.4441,-0.8169,-0.2618,-0.1151,0.0378,0.2853,0.9789,-0.2251,0,0.261
"PA14_58800",11.7444,34.9768,13.0184,13.2288,3.063,5.5724,28.2223,4.2162,11.655,27.5091,18.818,7.4194,16.884,0,-0.0436
"PA14_58810",-0.2607,-1.209,0.3787,2.8729,-0.6305,-3.4966,-0.1654,-2.1335,-2.0771,-1.2604,1.9925,-4.0667,-2.1713,0,0.8404
"PA14_58820",-7.0973,-0.3142,-0.2679,-4.8567,-4.3109,-2.6861,-2.4102,-8.8054,-3.0326,1.1966,-1.8506,-1.5318,-4.5927,0,-3.0358
"PA14_58830",1.8988,-0.3218,0.2514,1.1402,-0.6106,-0.2335,0.2674,-1.6635,0.7663,1.7026,1.128,0.1396,0.3218,0,-0.1873
"PA14_58840",0.1684,5.0658,0.0338,3.898,-2.6493,2.9656,8.8196,-1.9037,2.2982,2.7978,9.9874,2.5342,1.7184,0,1.2891
"PA14_58850",-0.4108,0.1677,-1.2115,0.0546,0.2448,-1.6589,0.1943,-1.248,0.7434,0.2874,-0.0715,-0.9524,0.7902,0,0.0775
"PA14_58860",-1.9438,4.0258,0.8676,1.4463,0.2749,-1.7613,0.876,-2.7776,2.1475,-0.3038,2.2948,-0.413,0.196,0,-4.0505
