"","PRJNA291292:ampicillin:PA14","PRJNA291292:silver_nitrate:PA14","PRJNA291292:aztreonam:PA14","PRJNA291292:bleach:PA14","PRJNA291292:benzalkonium_chloride:PA14","PRJNA291292:carbenicillin:PA14","PRJNA291292:cefoperazone:PA14","PRJNA291292:ciprofloxacin:PA14","PRJNA291292:gentamicin:PA14","PRJNA291292:neomycin:PA14","PRJNA291292:polymyxin_B:PA14","PRJNA291292:povidone-iodine:PA14","PRJNA291292:tobramycin:PA14","PRJNA291292:water:PA14","PRJNA291292:H2O2:PA14"
"PA14_20950",0.5248,-0.2687,0.0622,-0.015,-0.3372,-0.0374,-0.0015,0.4296,-0.6745,-0.6745,-0.6745,0.3353,-0.6745,-0.4146,0.5614
"PA14_20970",0.0455,-0.1983,-0.6332,-2.082,-0.2788,-0.8863,-0.7708,-0.2906,-1.2077,0.2337,0.6394,-0.5795,-0.9977,-0.25,0.4648
"PA14_21000",-0.0439,0.4392,0.1673,-0.7184,-0.2352,-0.1348,-0.2112,0.2627,-0.3345,-0.0872,-0.7184,0.3746,-0.2319,0.7184,0.5734
"PA14_21020",0.4635,0.3128,-0.2659,-0.0431,-0.9246,-0.3418,-0.8793,-0.7002,-1.716,-1.5414,0.2238,-0.1097,-0.8467,-0.1866,1.4419
"PA14_21030",0.5517,0.0556,-0.2906,0.8512,0.7502,-0.8884,0.7943,-0.6093,0.3042,-0.5278,1.9194,0.4822,-0.449,-0.308,1.0173
"PA14_21040",-0.4692,-0.4386,-0.5594,-0.4386,0.1503,0.0477,0.2936,0.782,-0.4626,-0.0323,-0.4292,0.7699,-0.1034,-0.6844,-0.9569
"PA14_21050",0.2915,0.4148,-0.1332,-0.1701,-1.1517,0.7526,0.004,-0.5867,-0.3084,-1.5542,-0.0063,1.4512,0.1905,-1.1756,1.0082
"PA14_21060",-0.2764,-0.8843,-1.5292,-1.3284,-0.0306,-0.9532,0.3855,-0.962,0.0518,0.0483,-1.0978,-0.7546,-1.046,-0.6812,-1.4291
"PA14_21070",0.3431,-0.1351,1.2323,-0.7518,0.1629,-0.4135,1.2464,-0.8514,0.2824,0.505,-0.695,0.3481,0.2323,0.6089,0.1918
"PA14_21080",-0.0176,-0.3915,-0.0286,0.6194,-1.138,0.5983,0.6724,-0.5019,-1.1266,0.115,0.9535,0.0171,-0.329,0.6806,0.0775
"PA14_21110",-0.0293,-0.7499,-0.4201,-0.3199,-0.1887,-0.0044,0.1996,0.2982,0.6031,0.0171,-0.1996,0.9476,-0.2302,0.179,-0.3701
"PA14_21120",0.582,-1.6736,0.2163,0.5716,-0.1513,0.5416,-0.2169,0.0106,0.4964,0.5804,-2.6847,-1.0006,0.6578,-1.3641,0.3943
"PA14_21130",0.2643,-0.8122,-0.6947,0.1794,1.0469,0.9444,0.0251,-1.1597,-0.6014,0.691,0.3945,-0.5672,0.3059,0.5502,0.0282
"PA14_21140",-2.4228,0.6898,-0.8586,0.498,1.3784,-1.4602,-0.186,-0.2633,-1.1192,1.0102,-0.3166,-0.233,0.2974,-1.2001,-0.1378
"PA14_21150",-0.9125,0.1582,-0.2228,-0.1043,0.2332,0.2768,-0.6726,-0.7443,-0.166,1.2725,1.1031,-1.9444,-0.0699,0.1543,-0.4144
"PA14_21160",-0.8636,1.1967,-0.0144,-0.3501,-0.1276,-0.2338,-0.8474,-0.4719,0.0936,1.06,0.5188,-1.0246,-0.4421,-0.1398,0.9491
"PA14_21175",-0.8778,1.1152,0.1077,0.0015,-0.0917,0.7009,-1.0177,-0.4441,0.0886,0.907,0.6194,-1.3561,-0.7865,0.2257,0.8442
"PA14_21180",-0.2079,1.4594,0.3516,-1.3673,-0.5367,0.3189,-0.598,0.7088,0.5373,0.3564,-0.7718,0.093,-0.4487,1.3673,0.1935
"PA14_21190",0.8108,-0.4544,-1.1289,0.1588,0.3395,0.5284,0.817,-0.4216,0.1925,-0.7939,0.3551,-0.722,0.2457,-0.5116,0.484
"PA14_21210",1.0689,-1.268,-0.5778,-0.1103,-1.7651,-0.4873,0.9042,0.3322,0.7815,0.9985,-0.0748,0.4316,0.1271,-0.9965,0.7432
"PA14_21220",-0.5809,1.4448,0.1125,-0.8367,0.4067,-0.8781,-1.301,0.0586,-0.8231,-0.9087,1.9534,0,0.4675,-0.0138,-0.8342
"PA14_21230",-0.4664,-0.1938,0.4688,-0.6849,1.3636,-0.9097,-0.9219,-0.4286,0.3106,0.6572,-0.2965,-1.0366,0.5011,-0.0438,-0.3862
"PA14_21240",-0.5718,-0.7787,-0.0933,-0.0523,0.2802,0.7378,-1.248,0.1607,0.0648,-2.8085,0.0643,0.2422,0.4722,-0.4282,-0.0317
"PA14_21250",-0.7838,1.0395,-1.9363,1.2469,-0.8149,-0.104,0.4806,0.6848,1.5394,0.0605,0.4148,-1.0721,-0.5558,1.2977,-0.1017
"PA14_21260",-0.0951,2.2005,-0.2748,-0.598,-0.1259,-1.5857,-1.9878,-0.1214,0.0553,-0.8108,2.0262,0.8079,0.9298,0.6265,-0.6814
"PA14_21280",-0.2022,0.0044,0.1663,-0.3898,0.2438,-0.6521,-2.3901,-0.0964,0.5224,-0.2908,2.3021,-0.0539,1.5291,0.2092,-0.5943
"PA14_21290",0.0853,-0.7691,0.0126,-0.7378,0.2643,-0.5358,-0.7779,1.044,-0.3694,-0.7122,-1.4065,-0.305,-0.2126,-0.0265,0.6092
"PA14_21300",-0.5536,0.4978,-1.7791,-0.1368,-1.0584,-0.7715,-2.5857,-0.9129,0.793,0.3767,0,-1.844,0.1282,1.3797,1.076
"PA14_21310",0.1404,-0.8636,1.2271,0.5562,0.3419,0,0.98,0.5034,-0.7446,-0.9333,-0.2814,0.2906,0.5077,0.1139,-0.4412
"PA14_21320",-0.4122,-0.6486,1.1256,0.9956,0.1833,-0.4594,0.5308,0.3177,-0.5242,-1.0482,-0.2043,0.4952,0.7862,-0.7602,-0.6574
"PA14_21340",0.4669,-0.1072,-0.5522,0.693,-0.4772,-0.9098,0.8855,-1.5587,-0.4334,0.5598,0.6387,1.2775,0.5812,-0.1244,-0.0651
"PA14_21370",0.8916,-0.2944,-0.6812,-0.0232,-0.8605,-0.0306,1.0014,0.0864,-0.5146,-1.2297,-0.0666,1.4063,-0.8041,0.0525,1.0354
"PA14_21400",-0.1442,0.0354,1.0314,-3.6666,1.0525,-0.2804,-1.6547,-1.0206,-2.2189,1.2105,-0.3574,-0.5951,-0.2956,0.151,-0.5882
"PA14_21440",0.652,-0.672,-1.0221,0.0733,-0.3608,0.4583,1.1285,0.6684,1.2509,-0.8,-0.3988,0.364,0.7183,-0.4882,0.9076
"PA14_21450",-0.1808,-1.0715,-0.6749,-2.165,0.2468,-0.0847,1.5461,0.8742,1.248,-0.0666,-0.5452,1.1118,-0.0198,-0.6659,0.7147
"PA14_21470",0.7358,-1.2292,0.0342,0.6284,0.486,-0.4712,1.9496,0.2644,-0.3332,0.4743,0.0142,-0.7023,-1.5604,0.4428,0.3093
"PA14_21480",2.0319,0.7134,-0.0331,1.1649,0.2732,0.2352,2.4754,-0.82,0.3624,-1.0067,-0.5326,1.4718,0.1822,-0.5598,2.0572
"PA14_21490",0.0146,0.9667,-0.9177,0.1866,0.2547,-0.0955,0.1664,-0.5118,0.767,-0.1386,1.2285,0.457,0.1255,0.4912,2.4808
"PA14_21520",-0.5362,0.9832,1.4754,-1.2809,0.2916,1.0196,-0.6566,-1.5084,-0.7523,0.6651,0.888,-0.5232,0.5371,1.4648,-0.1208
"PA14_21540",0.5672,-1.1539,1.6418,-1.7819,0.9142,0.3716,-0.0622,-0.1134,0.001,0.6824,0.0475,-0.5977,1.3352,-0.225,-1.1315
"PA14_21550",0.9008,-0.7254,1.6078,-1.0168,-0.2842,-0.5113,-0.2842,-0.1492,-0.0505,-0.1844,0.0449,0.3227,0.1354,-0.129,-0.4617
"PA14_21560",0.3354,-0.6213,0.7715,-0.3473,0.1946,-0.7892,0.096,0.7323,-0.2035,-1.0623,-0.5629,-0.1674,0.8858,-0.0535,-1.1456
"PA14_21570",-0.544,0.2606,-0.9985,7.8916,0.3584,0.4442,0.319,0.488,-0.4968,0.3227,-0.0562,2.2723,-0.1308,0.544,-1.2925
"PA14_21580",-0.5111,-0.1171,0.6672,9.1486,0.3002,-0.0703,0.3307,0.0844,-1.0151,-0.1093,-0.8339,4.4418,-0.0206,-0.6787,-0.0306
"PA14_21590",-0.9613,-1.0368,0.6423,10,-0.6626,-0.1241,0.8503,-0.266,0.6666,0.0264,-0.9105,6.973,0.5088,-0.2772,-0.0759
"PA14_21600",0.2224,-1.0789,0.1254,10,0,-0.7733,-0.9366,-0.1443,0.1472,-1.3723,-0.234,5.8794,-0.5802,-0.2445,0.7161
"PA14_21610",0.0645,-0.9848,0.0995,5.3979,0.1988,-0.184,0.2997,0.4823,-0.256,0.0826,-0.4064,1.9926,-1.92,0.0676,-0.1983
"PA14_21630",0.1617,1.3742,-0.2142,-0.4341,-0.6996,-0.8965,-1.8927,0.4804,-0.4192,-0.7731,1.4603,-0.0298,1.1067,0.6232,-0.4324
"PA14_21640",-0.3816,2.1046,-3.3973,0.9592,0.8304,-1.2883,-0.0718,-1.3198,1.2434,-0.7041,-1.5179,-0.3298,-0.0415,0.3087,-0.2216
"PA14_21650",0.8935,0.3545,1.8035,-1.3356,-0.3566,0.258,-0.6606,0.2716,2.1006,-0.4554,0.4549,-1.2439,2.1586,-0.3784,-0.9678
"PA14_21660",-0.6654,0.9351,-0.2995,-1.0594,0.4368,1.4437,1.4592,0.4133,-0.1762,0.8193,0.069,-2.5984,0.4688,-0.5963,-0.1013
"PA14_21680",1.6149,-0.8261,1.037,-0.95,-0.4889,-0.6038,-0.2094,-0.754,0.0312,1.3114,-1.2653,-1.2922,0,2.0451,-1.2449
"PA14_21690",-0.1659,-0.9363,-0.4585,-0.2636,-1.2877,1.0608,0.5463,-0.6486,1.1151,1.7595,-0.1588,-0.0543,0.8086,0.1318,0.6012
"PA14_21700",0.072,-1.5473,-1.0368,1.2557,-0.653,1.0614,0.1594,-0.4666,-0.4092,0.4586,0.6038,1.37,-0.2424,0.365,-0.3253
"PA14_21710",0.6113,0.8834,0.7214,0.2854,1.7622,1.7119,0.4096,-1.2605,-0.203,0.7382,0.4744,-0.4146,-1.2377,-0.1143,0.1181
"PA14_21720",-1.1801,-0.0679,0.9387,-0.4545,-0.13,-0.388,-0.5962,-0.7394,-0.6245,0.1776,0.4837,1.4362,1.5259,-0.6745,-0.8262
"PA14_21730",-0.1205,2.8382,0.6218,1.737,0.3377,0.4786,0.1669,0.547,-1.9539,-1.515,-0.1408,-0.8736,0.8064,0.4709,-1.0124
